253461151	20120401	FRA	IDN	070	7.0	5	1	5	0.795228628230616	http://www.thejakartapost.com/news/2013/04/01/seismic-survey-completed-chevron-expand-west-papua.html
253461153	20120401	GBR	WST	072	8.3	20	2	20	1.41111585671575	http://www.scotsman.com/news/uk/speeding-up-cuts-will-hit-afghan-confidence-1-2871459
253461350	20120401	USA	IDN	020	3.0	8	1	8	2.46636771300448	http://www.forbesadvocate.com.au/story/1402234/take-more-official-refugees-indonesia-says/?cs=7
253461351	20120401	USA	IDN	020	3.0	2	1	2	2.46636771300448	http://www.forbesadvocate.com.au/story/1402234/take-more-official-refugees-indonesia-says/?cs=7
253461364	20120401	USA	USA	020	3.0	1	1	1	6.57276995305164	http://timesofindia.indiatimes.com/tech/tech-news/internet/Google-faces-flak-over-Easter-days-doodle/articleshow/19322033.cms
253461608	20130302	USA	USA	020	3.0	4	1	4	1.71884591774095	http://www.bloomberg.com/news/2013-04-01/airline-returns-refute-buffett-aversion-to-u-s-carriers.html
253461627	20130302	USA	USA	020	3.0	10	2	10	3.33278032774798	http://www.businessweek.com/news/2013-04-01/exxon-arkansas-spill-raises-scrutiny-of-keystone-pipeline
253461628	20130302	USA	USA	020	3.0	10	2	10	3.36056524619122	http://www.post-gazette.com/stories/news/us/exxons-arkansas-spill-raises-criticism-of-keystone-pipeline-681746/
253461710	20130325	CAN	USA	071	7.4	2	1	2	0.766871165644172	http://www.montrealgazette.com/business/Investing+Strategy+Canadians+indirectly+dearly+their+mutual/8179663/story.html
253461714	20130325	CMR	CAF	0233	3.4	16	4	16	1.78183205507688	http://www.trust.org/alertnet/news/cafrican-republic-opposition-says-to-boycott-new-government
253461715	20130325	CMR	CAF	0233	3.4	16	4	16	1.78183205507688	http://www.trust.org/alertnet/news/cafrican-republic-opposition-says-to-boycott-new-government
253461716	20130325	CMR	CAF	0233	3.4	48	4	48	1.78183205507688	http://www.trust.org/alertnet/news/cafrican-republic-opposition-says-to-boycott-new-government
253461751	20130325	GBR	GBR	020	3.0	2	1	2	2.00803212851406	http://www.dailymail.co.uk/health/article-2302274/NHS-111-helpline-Service-launch-ONE-area-tomorrow-grave-concerns-safety.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490
253461752	20130325	GBR	GBR	020	3.0	2	1	2	2.00803212851406	http://www.dailymail.co.uk/health/article-2302274/NHS-111-helpline-Service-launch-ONE-area-tomorrow-grave-concerns-safety.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490
253461806	20130325	IND	CHN	020	3.0	15	1	15	1.29316652033948	http://www.washingtonpost.com/world/asia_pacific/indian-states-fight-over-river-usage/2013/04/01/73026ae0-9895-11e2-b68f-dc5c4b47e519_story.html?wprss=rss_world
253461860	20130325	KOR	PRK	020	3.0	10	4	10	1.695641480192	http://in.reuters.com/article/2013/04/01/korea-north-idINDEE9300D820130401?feedType=RSS&feedName=worldNews
253461861	20130325	KOR	PRK	020	3.0	8	3	8	1.73262149770345	http://in.reuters.com/article/2013/04/01/korea-north-idINDEE9300D820130401?feedType=RSS&feedName=worldNews
253461862	20130325	KOR	PRK	020	3.0	2	1	2	1.54772141014617	http://www.firstpost.com/world/south-korea-vows-fast-response-to-north-u-s-positions-destroyer-682184.html
253461863	20130325	KOR	USA	020	3.0	10	1	10	0	BBC Monitoring
253461864	20130325	KOR	USA	020	3.0	10	1	10	0	BBC Monitoring
253461867	20130325	KOR	PRK	020	3.0	30	4	30	1.695641480192	http://in.reuters.com/article/2013/04/01/korea-north-idINDEE9300D820130401?feedType=RSS&feedName=worldNews
253461982	20130325	SYR	TUR	020	3.0	2	1	2	2.08333333333333	http://latitude.blogs.nytimes.com/2013/04/01/could-syrias-kurds-change-the-course-of-the-civil-war/?partner=rss&emc=rss
253461983	20130325	SYR	TUR	020	3.0	2	1	2	2.08333333333333	http://latitude.blogs.nytimes.com/2013/04/01/could-syrias-kurds-change-the-course-of-the-civil-war/?partner=rss&emc=rss
253462028	20130325	USA	USA	025	-0.3	2	1	2	1.37795275590551	http://www.csmonitor.com/USA/Latest-News-Wires/2013/0401/Connecticut-reaches-deal-on-tough-gun-laws-3-months-after-Newtown
253462029	20130325	USA	USA	025	-0.3	2	1	2	1.37795275590551	http://www.csmonitor.com/USA/Latest-News-Wires/2013/0401/Connecticut-reaches-deal-on-tough-gun-laws-3-months-after-Newtown
253462047	20130325	USA	IRQ	025	-0.3	4	1	4	1.33417366449482	http://www.theglobeandmail.com/news/politics/in-iraq-john-baird-works-to-rebuild-diplomatic-and-economic-ties/article10600564/?cmpid=rss1
253462048	20130325	USA	IRQ	025	-0.3	16	1	16	1.33417366449482	http://www.theglobeandmail.com/news/politics/in-iraq-john-baird-works-to-rebuild-diplomatic-and-economic-ties/article10600564/?cmpid=rss1
253462146	20130331	CYP	CYP	070	7.0	6	1	6	0	BBC Monitoring
253462248	20130331	USA	JPN	020	3.0	2	1	2	4.05405405405405	http://www.bloomberg.com/news/2013-04-01/caroline-kennedy-said-to-be-obama-choice-for-japan-envoy.html
253465143	20130401	AFG	AFG	072	8.3	3	1	3	0	BBC Monitoring
253465150	20130401	AFG	AFG	072	8.3	4	1	4	0	BBC Monitoring
253465208	20130401	AFG	GBR	073	7.4	6	1	6	1.6304347826087	http://www.independent.co.uk/news/world/asia/afghan-militaryequipment-is-airlifted-backto-britain-8556206.html
253465209	20130401	AFG	GBR	073	7.4	2	1	2	1.6304347826087	http://www.independent.co.uk/news/world/asia/afghan-militaryequipment-is-airlifted-backto-britain-8556206.html
253465272	20130401	AFG	PAK	020	3.0	8	1	8	0	BBC Monitoring
253465321	20130401	AFG	PHL	072	8.3	7	1	7	4.27046263345196	http://www.philippinetimes.com/index.php/sid/213532697/scat/2411cd3571b4f088
253465366	20130401	AFG	USA	070	7.0	1	1	1	1.27713920817369	http://www.startribune.com/world/200855621.html
253465395	20130401	AFG	USA	071	7.4	12	1	12	3.5799522673031	http://in.reuters.com/article/2013/04/02/people-angleina-jolie-idINDEE93101720130402
253465418	20130401	AFG	AFG	072	8.3	10	1	10	1.58730158730159	http://www.bignewsnetwork.com/index.php/sid/213530996/scat/6e1d5c8e1f98f17c
253465433	20130401	AFG	PAK	025	-0.3	10	1	10	2.34375	http://www.khaama.com/kabul-worried-over-pakistans-unilateral-activies-in-duraland-line-2320
253465555	20130401	AFR	CAF	0256	-0.3	8	1	8	2.53731343283582	http://www.npr.org/templates/story/story.php?storyId=175920843&ft=1&f=
253465556	20130401	AFR	CAF	0256	-0.3	2	1	2	2.02312138728324	http://www.news24.com/SouthAfrica/Politics/DAs-CAR-call-misguided-ANC-20130401
253465557	20130401	AFR	CAF	0256	-0.3	2	1	2	2.53731343283582	http://www.npr.org/templates/story/story.php?storyId=175920843&ft=1&f=
253465561	20130401	AFR	CAF	070	7.0	1	1	1	2.46406570841889	http://www.bloomberg.com/news/2013-04-01/central-african-republic-leader-appoints-government.html
253465562	20130401	AFR	CAF	070	7.0	1	1	1	2.46406570841889	http://www.bloomberg.com/news/2013-04-01/central-african-republic-leader-appoints-government.html
253465581	20130401	AFR	COD	072	8.3	4	1	4	2.02312138728324	http://www.news24.com/SouthAfrica/Politics/DAs-CAR-call-misguided-ANC-20130401
253465590	20130401	AFR	GBR	020	3.0	10	1	10	1.86666666666667	http://allafrica.com/stories/201304010164.html
253465629	20130401	AFR	RUS	020	3.0	1	1	1	2.08333333333333	http://72.167.255.126/index.php?sid=6&aid=110&dir=2013/March/Wednesday27
253465630	20130401	AFR	RUS	020	3.0	2	1	2	2.08333333333333	http://72.167.255.126/index.php?sid=6&aid=110&dir=2013/March/Wednesday27
253465635	20130401	AFR	UGA	072	8.3	2	1	2	2.02312138728324	http://www.news24.com/SouthAfrica/Politics/DAs-CAR-call-misguided-ANC-20130401
253465636	20130401	AFR	UGA	072	8.3	2	1	2	2.02312138728324	http://www.news24.com/SouthAfrica/Politics/DAs-CAR-call-misguided-ANC-20130401
253465637	20130401	AFR	USA	020	3.0	10	1	10	1.86666666666667	http://allafrica.com/stories/201304010164.html
253465645	20130401	AFR	ZAF	020	3.0	8	1	8	2.06489675516224	http://www.bbc.co.uk/news/world-africa-21997435
253465646	20130401	AFR	ZAF	0232	3.4	2	1	2	2.02312138728324	http://www.news24.com/SouthAfrica/Politics/DAs-CAR-call-misguided-ANC-20130401
253465654	20130401	AFR	ZAF	020	3.0	4	1	4	4.89510489510489	http://www.guardian.co.uk/world/2013/apr/01/amina-cachalia-mandela-marriage-proposal
253465656	20130401	AFR	ZAF	020	3.0	2	1	2	2.53731343283582	http://www.npr.org/templates/story/story.php?storyId=175920843&ft=1&f=
253465657	20130401	AFR	ZAF	020	3.0	6	1	6	2.53731343283582	http://www.npr.org/templates/story/story.php?storyId=175920843&ft=1&f=
253465658	20130401	AFR	ZAF	020	3.0	2	1	2	2.53731343283582	http://www.npr.org/templates/story/story.php?storyId=175920843&ft=1&f=
253465659	20130401	AFR	ZAF	070	7.0	2	1	2	2.46406570841889	http://www.bloomberg.com/news/2013-04-01/central-african-republic-leader-appoints-government.html
253465664	20130401	AFR	CAF	072	8.3	4	2	4	2.10021938480462	http://www.sbs.com.au/news/article/1752028/Rebels-oppn-form-govt-in-Central-Africa
253465665	20130401	AFR	CAF	072	8.3	16	2	16	2.10021938480462	http://www.sbs.com.au/news/article/1752028/Rebels-oppn-form-govt-in-Central-Africa
253465674	20130401	AFR	ZAF	0232	3.4	4	2	4	2.10021938480462	http://www.sbs.com.au/news/article/1752028/Rebels-oppn-form-govt-in-Central-Africa
253465675	20130401	AFR	ZAF	0232	3.4	16	2	16	2.10021938480462	http://www.sbs.com.au/news/article/1752028/Rebels-oppn-form-govt-in-Central-Africa
253465733	20130401	ALB	MKD	020	3.0	2	1	2	0	BBC Monitoring
253465740	20130401	ALB	MKD	020	3.0	6	1	6	0	BBC Monitoring
253465773	20130401	ARE	AFR	026	4.0	4	1	4	3.55731225296443	http://www.ameinfo.com/dubai-chamber-hosts-organising-committee-meeting-335694
253465816	20130401	ARE	USA	070	7.0	4	1	4	7.83582089552239	http://www.ameinfo.com/united-arab-bank-recognised-trade-export-335699
253465825	20130401	ARE	AFR	026	4.0	6	1	6	3.55731225296443	http://www.ameinfo.com/dubai-chamber-hosts-organising-committee-meeting-335694
253466046	20130401	AUS	AUS	020	3.0	2	1	2	2.81501340482574	http://www.stockjournal.com.au/news/agriculture/general/opinion/carbon-price-future-unknown/2652359.aspx?src=rss
253466097	20130401	AUS	GBR	075	7.0	1	1	1	1.25	http://www.policymic.com/articles/32175/julian-assange-case-top-prosecutor-quits-case-while-assange-continues-to-hide-in-ecuadorian-embassy
253466098	20130401	AUS	GBR	075	7.0	1	1	1	1.25	http://www.policymic.com/articles/32175/julian-assange-case-top-prosecutor-quits-case-while-assange-continues-to-hide-in-ecuadorian-embassy
253466151	20130401	AUS	PRK	020	3.0	10	1	10	2.0979020979021	http://www.forbesadvocate.com.au/story/1402105/australia-urges-tighter-ban-on-north-korea/?cs=7
253466157	20130401	AUS	SWE	075	7.0	1	1	1	1.25	http://www.policymic.com/articles/32175/julian-assange-case-top-prosecutor-quits-case-while-assange-continues-to-hide-in-ecuadorian-embassy
253466158	20130401	AUS	SWE	075	7.0	1	1	1	1.25	http://www.policymic.com/articles/32175/julian-assange-case-top-prosecutor-quits-case-while-assange-continues-to-hide-in-ecuadorian-embassy
253466182	20130401	AUS	AUS	020	3.0	5	1	5	1.44092219020173	http://www.news.com.au/breaking-news/police-recruits-sidelined-in-push-for-more-protective-services-officers/story-e6frfkp9-1226610468240?from=public_rss
253466199	20130401	AUS	ISR	020	3.0	8	1	8	5.26315789473684	http://www.haaretz.com/news/diplomacy-defense/shake-up-in-canberra-government-could-bolster-ties-with-israel.premium-1.512923?localLinksEnabled=false
253466216	20130401	AUS	AUS	020	3.0	8	4	8	0.929684183500978	http://www.perthnow.com.au/news/breaking-news/nsw-mardi-gras-man-to-defend-charges/story-fnhrvfuw-1226610778121?from=public_rss
253466278	20130401	AZE	AZE	071	7.4	10	1	10	0	http://en.trend.az/news/politics/2134277.html
253466290	20130401	AZE	FRA	020	3.0	4	1	4	2.11267605633803	http://en.trend.az/news/society/2134366.html
253466407	20130401	BGD	BGD	072	8.3	10	1	10	3.87596899224806	http://www.thefinancialexpress-bd.com/index.php?ref=MjBfMDRfMDJfMTNfMV8zXzE2NTA4MQ%3D%3D&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+thefinancialexpress-bd%2FIouH+%28The+Financial+Express%29
253466420	20130401	BGD	MYS	020	3.0	10	1	10	0.657894736842105	http://biz.thestar.com.my/news/story.asp?file=/2013/4/2/business/12914964&sec=business
253466535	20130401	BLR	BLR	020	3.0	2	1	2	0	BBC Monitoring
253466619	20130401	BRA	NAM	020	3.0	16	1	16	1.44230769230769	http://www.xe.com/news/2013/04/01/3283169.htm?utm_source=RSS&utm_medium=TL&utm_content=NOGEO&utm_campaign=News_RSS_Art18
253466620	20130401	BRA	NAM	020	3.0	4	1	4	1.44230769230769	http://www.xe.com/news/2013/04/01/3283169.htm?utm_source=RSS&utm_medium=TL&utm_content=NOGEO&utm_campaign=News_RSS_Art18
253466635	20130401	BRA	BRA	020	3.0	2	1	2	2.68756998880179	http://www.geekosystem.com/cicadas-to-swarm-and-be-tracked/
253467545	20130401	CAF	AFR	0232	3.4	4	1	4	2.02312138728324	http://www.news24.com/SouthAfrica/Politics/DAs-CAR-call-misguided-ANC-20130401
